LevelID,Food Cooked at Fast Speed,Food Cooked at Medium Speed,Food cooked at Slow Speed,Food Cooked at Fast Speed (Cooking Time-Second),Food Cooked at Medium Speed(Cooking Time-Second),Food cooked at Slow Speed (Cooking Time-Second),Food Cooked at Fast Speed (Food Spawn Rate),Food Cooked at Medium Speed (Food Spawn Rate),Food cooked at Slow Speed (Food Spawn Rate),Food Cooked at Fast Speed (Cooking Range),Food Cooked at Medium Speed (Cooking Range),Food cooked at Slow Speed (Cooking Range),Number of Food Items on a Grill(random places),frequency of foods being spwan,Min Score Required to Pass the Level,Poimt Per Correct For Just-İn-Time-Clicks,Point Per Undercooked & Overcoocked
1,0,0,1,0,0,5,0,0,100,0,0,0.25,3,4,20,0.4,0.20
2,0,0,1,0,0,5,0,0,100,0,0,"0,25",4,4,24,0.48,0.24
3,0,1,1,0,4,5,0,70,30,0,0.25,0.25,4,4,29,0.58,0.29
4,0,1,1,0,4,5,0,50,50,0,0.25,0.2,4,4,35,0.69,0.35
5,0,1,1,0,4,5,0,50,50,0,0.2,0.2,5,4,42,0.83,0.41
6,1,1,1,3,4,5,70,15,15,0.25,0.2,0.2,5,4,50,1.00,0.50
7,1,1,1,3,4,5,50,25,25,0.2,0.2,0.2,5,4,60,1.19,0.60
8,1,1,1,3,4,5,33,33,33,0.2,0.15,0.15,5,4,72,1.43,0.72
9,1,1,1,3,4,5,33,33,33,0.15,0.15,0.15,6,4,87,1.72,0.86
10,1,1,1,3,4,5,33,33,33,0.15,0.15,0.15,7,4,104,02.06,01.03
11,1,1,1,3,4,5,33,33,33,0.15,0.15,0.15,8,4,125,2.48,1.24
12,1,1,1,3,4,5,33,33,33,0.15,0.15,0.15,9,4,150,2.97,1.49
13,1,1,1,3,4,5,33,33,33,0.15,0.15,0.1,9,4,180,3.57,1.78
14,1,1,1,3,4,5,33,33,33,0.15,0.1,0.1,9,4,216,4.28,2.14
15,1,1,1,3,4,5,33,33,33,0.1,0.1,0.1,9,4,260,5.14,2.57
16,1,1,1,3,4,5,33,33,33,0.1,0.1,0.05,9,4,312,6.16,03.08
17,1,1,1,3,4,5,33,33,33,0.1,0.05,0.05,9,4,375,7.40,3.70
18,1,1,1,3,4,5,33,33,33,0.05,0.05,0.05,9,4,450,8.87,4.44
19,1,1,1,3,4,5,33,33,33,0.05,0.05,25,9,4,540,10.65,5.32
20,1,1,1,3,4,5,33,33,33,0.05,25,25,9,4,648,12.78,6.39
21,1,1,1,3,4,5,33,33,33,25,25,25,9,4,778,15.34,7.67
22,1,1,1,3,4,5,33,33,33,25,25,25,9,3,934,18.40,9.20
